model,label_a,label_b,acc_a,acc_b,abs_diff
mlp,s1_to_s2,s2_to_s1,56.17,55.67,0.50
mlp,s1_to_s3,s3_to_s1,28.02,25.65,2.37
mlp,s1_to_s32straight,s32straight_to_s1,50.59,29.81,20.78
mlp,s1_to_s33straight,s33straight_to_s1,54.64,31.57,23.07
mlp,s1_to_s7,s7_to_s1,26.84,47.93,21.09
mlp,s2_to_s32straight,s32straight_to_s2,51.52,26.77,24.74
mlp,s2_to_s33straight,s33straight_to_s2,52.74,25.76,26.97
mlp,s2_to_s4,s4_to_s2,32.57,43.29,10.73
mlp,s2_to_s7,s7_to_s2,38.01,41.66,3.65
mlp,s32straight_to_s3,s3_to_s32straight,25.13,63.64,38.51
mlp,s32straight_to_s33straight,s33straight_to_s32straight,76.16,78.00,1.84
mlp,s32straight_to_s7,s7_to_s32straight,27.66,71.31,43.64
mlp,s33straight_to_s4,s4_to_s33straight,27.25,64.37,37.12
mlp,s3_to_s4,s4_to_s3,18.96,17.95,1.00
mlp,s3_to_s7,s7_to_s3,32.63,20.47,12.16
mlp,s4_to_s7,s7_to_s4,27.72,27.67,0.05
knn,s1_to_s2,s2_to_s1,74.59,81.59,7.01
knn,s1_to_s3,s3_to_s1,63.46,89.38,25.92
knn,s1_to_s32straight,s32straight_to_s1,83.35,86.11,2.76
knn,s1_to_s33straight,s33straight_to_s1,84.99,87.41,2.42
knn,s1_to_s7,s7_to_s1,69.01,89.38,20.37
knn,s2_to_s32straight,s32straight_to_s2,84.21,78.69,5.52
knn,s2_to_s33straight,s33straight_to_s2,84.19,79.56,4.63
knn,s2_to_s4,s4_to_s2,57.49,83.21,25.72
knn,s2_to_s7,s7_to_s2,69.01,83.21,14.20
knn,s32straight_to_s3,s3_to_s32straight,63.46,88.55,25.09
knn,s32straight_to_s33straight,s33straight_to_s32straight,84.87,84.53,0.35
knn,s32straight_to_s7,s7_to_s32straight,69.01,88.55,19.54
knn,s33straight_to_s4,s4_to_s33straight,57.49,89.53,32.05
knn,s3_to_s4,s4_to_s3,38.10,45.20,7.10
knn,s3_to_s7,s7_to_s3,64.85,59.33,5.52
knn,s4_to_s7,s7_to_s4,64.97,53.88,11.09
rf,s1_to_s2,s2_to_s1,78.67,83.77,5.10
rf,s1_to_s3,s3_to_s1,70.77,96.56,25.79
rf,s1_to_s32straight,s32straight_to_s1,86.95,88.70,1.75
rf,s1_to_s33straight,s33straight_to_s1,89.73,91.61,1.89
rf,s1_to_s7,s7_to_s1,75.73,96.85,21.12
rf,s2_to_s32straight,s32straight_to_s2,87.31,82.67,4.63
rf,s2_to_s33straight,s33straight_to_s2,88.83,83.43,5.41
rf,s2_to_s4,s4_to_s2,67.57,90.27,22.70
rf,s2_to_s7,s7_to_s2,75.15,90.10,14.95
rf,s32straight_to_s3,s3_to_s32straight,70.64,94.27,23.64
rf,s32straight_to_s33straight,s33straight_to_s32straight,91.65,91.16,0.49
rf,s32straight_to_s7,s7_to_s32straight,75.73,94.42,18.69
rf,s33straight_to_s4,s4_to_s33straight,67.09,94.95,27.87
rf,s3_to_s4,s4_to_s3,38.58,44.30,5.71
rf,s3_to_s7,s7_to_s3,71.23,66.61,4.62
rf,s4_to_s7,s7_to_s4,70.00,61.84,8.16
fourier_knn,s1_to_s2,s2_to_s1,73.19,81.51,8.32
fourier_knn,s1_to_s3,s3_to_s1,61.54,88.70,27.15
fourier_knn,s1_to_s32straight,s32straight_to_s1,82.91,85.67,2.77
fourier_knn,s1_to_s33straight,s33straight_to_s1,84.39,86.67,2.28
fourier_knn,s1_to_s7,s7_to_s1,68.30,88.70,20.39
fourier_knn,s2_to_s32straight,s32straight_to_s2,83.89,76.91,6.99
fourier_knn,s2_to_s33straight,s33straight_to_s2,83.32,77.55,5.77
fourier_knn,s2_to_s4,s4_to_s2,53.13,80.54,27.41
fourier_knn,s2_to_s7,s7_to_s2,68.36,80.50,12.14
fourier_knn,s32straight_to_s3,s3_to_s32straight,61.54,87.92,26.37
fourier_knn,s32straight_to_s33straight,s33straight_to_s32straight,84.78,84.44,0.33
fourier_knn,s32straight_to_s7,s7_to_s32straight,68.42,87.96,19.54
fourier_knn,s33straight_to_s4,s4_to_s33straight,53.34,88.08,34.74
fourier_knn,s3_to_s4,s4_to_s3,35.35,44.56,9.22
fourier_knn,s3_to_s7,s7_to_s3,65.03,58.19,6.84
fourier_knn,s4_to_s7,s7_to_s4,64.62,50.27,14.35
