comparison,"MLP (rehearsal, full source)_accuracy",k-NN (500-source-cap)_accuracy,Random Forest (500-source-cap)_accuracy,Fourier + k-NN (500-source-cap)_accuracy,"MLP (rehearsal, full source)_rank",k-NN (500-source-cap)_rank,Random Forest (500-source-cap)_rank,Fourier + k-NN (500-source-cap)_rank
s1_to_s2,56.17,74.59,78.67,73.19,4,2,1,3
s1_to_s3,28.02,63.46,70.77,61.54,4,2,1,3
s1_to_s32straight,50.59,83.35,86.95,82.91,4,2,1,3
s1_to_s33straight,54.64,84.99,89.73,84.39,4,2,1,3
s1_to_s7,26.84,69.01,75.73,68.30,4,2,1,3
s2_to_s1,55.67,81.59,83.77,81.51,4,2,1,3
s2_to_s32straight,51.52,84.21,87.31,83.89,4,2,1,3
s2_to_s33straight,52.74,84.19,88.83,83.32,4,2,1,3
s2_to_s4,32.57,57.49,67.57,53.13,4,2,1,3
s2_to_s7,38.01,69.01,75.15,68.36,4,2,1,3
s32straight_to_s1,29.81,86.11,88.70,85.67,4,2,1,3
s32straight_to_s2,26.77,78.69,82.67,76.91,4,2,1,3
s32straight_to_s3,25.13,63.46,70.64,61.54,4,2,1,3
s32straight_to_s33straight,76.16,84.87,91.65,84.78,4,2,1,3
s32straight_to_s7,27.66,69.01,75.73,68.42,4,2,1,3
s33straight_to_s1,31.57,87.41,91.61,86.67,4,2,1,3
s33straight_to_s2,25.76,79.56,83.43,77.55,4,2,1,3
s33straight_to_s32straight,78.00,84.53,91.16,84.44,4,2,1,3
s33straight_to_s4,27.25,57.49,67.09,53.34,4,2,1,3
s3_to_s1,25.65,89.38,96.56,88.70,4,2,1,3
s3_to_s32straight,63.64,88.55,94.27,87.92,4,2,1,3
s3_to_s4,18.96,38.10,38.58,35.35,4,2,1,3
s3_to_s7,32.63,64.85,71.23,65.03,4,3,1,2
s4_to_s2,43.29,83.21,90.27,80.54,4,2,1,3
s4_to_s3,17.95,45.20,44.30,44.56,4,1,3,2
s4_to_s33straight,64.37,89.53,94.95,88.08,4,2,1,3
s4_to_s7,27.72,64.97,70.00,64.62,4,2,1,3
s7_to_s1,47.93,89.38,96.85,88.70,4,2,1,3
s7_to_s2,41.66,83.21,90.10,80.50,4,2,1,3
s7_to_s3,20.47,59.33,66.61,58.19,4,2,1,3
s7_to_s32straight,71.31,88.55,94.42,87.96,4,2,1,3
s7_to_s4,27.67,53.88,61.84,50.27,4,2,1,3
