model,comparison,samples_to_50pct
mlp,s1_to_s2,21.73913043478261
mlp,s1_to_s3,never
mlp,s1_to_s32straight,195.3488372093023
mlp,s1_to_s33straight,184.520725388601
mlp,s1_to_s7,never
mlp,s2_to_s1,0
mlp,s2_to_s32straight,177.9141104294479
mlp,s2_to_s33straight,132.42187500000009
mlp,s2_to_s4,never
mlp,s2_to_s7,never
mlp,s32straight_to_s1,never
mlp,s32straight_to_s2,never
mlp,s32straight_to_s3,never
mlp,s32straight_to_s33straight,119.0769230769231
mlp,s32straight_to_s7,never
mlp,s33straight_to_s1,never
mlp,s33straight_to_s2,never
mlp,s33straight_to_s32straight,85.40123456790123
mlp,s33straight_to_s4,never
mlp,s3_to_s1,never
mlp,s3_to_s32straight,94.82456140350875
mlp,s3_to_s4,never
mlp,s3_to_s7,never
mlp,s4_to_s2,never
mlp,s4_to_s3,never
mlp,s4_to_s33straight,63.552123552123554
mlp,s4_to_s7,never
mlp,s7_to_s1,never
mlp,s7_to_s2,never
mlp,s7_to_s3,never
mlp,s7_to_s32straight,35.0
mlp,s7_to_s4,never
knn,s1_to_s2,15.063291139240507
knn,s1_to_s3,78.48837209302326
knn,s1_to_s32straight,13.196517412935323
knn,s1_to_s33straight,14.977777777777778
knn,s1_to_s7,44.99999999999996
knn,s2_to_s1,0
knn,s2_to_s32straight,12.500000000000002
knn,s2_to_s33straight,14.090909090909076
knn,s2_to_s4,129.90430622009566
knn,s2_to_s7,44.99999999999996
knn,s32straight_to_s1,30.941704035874448
knn,s32straight_to_s2,43.18627450980391
knn,s32straight_to_s3,78.48837209302326
knn,s32straight_to_s33straight,11.164596273291927
knn,s32straight_to_s7,44.99999999999996
knn,s33straight_to_s1,26.42857142857142
knn,s33straight_to_s2,38.300000000000004
knn,s33straight_to_s32straight,6.081504702194363
knn,s33straight_to_s4,129.90430622009566
knn,s3_to_s1,18.818493150684922
knn,s3_to_s32straight,9.372549019607845
knn,s3_to_s4,never
knn,s3_to_s7,52.95454545454544
knn,s4_to_s2,25.046728971962615
knn,s4_to_s3,never
knn,s4_to_s33straight,9.110275689223062
knn,s4_to_s7,50.62499999999998
knn,s7_to_s1,18.818493150684922
knn,s7_to_s2,25.046728971962615
knn,s7_to_s3,98.64864864864863
knn,s7_to_s32straight,9.372549019607845
knn,s7_to_s4,158.09248554913296
rf,s1_to_s2,0.5813953488372093
rf,s1_to_s3,38.23529411764706
rf,s1_to_s32straight,9.617647058823533
rf,s1_to_s33straight,9.320866141732285
rf,s1_to_s7,19.823008849557528
rf,s2_to_s1,0
rf,s2_to_s32straight,8.913978494623654
rf,s2_to_s33straight,9.249471458773781
rf,s2_to_s4,33.333333333333336
rf,s2_to_s7,19.39655172413793
rf,s32straight_to_s1,30.817843866170996
rf,s32straight_to_s2,38.24858757062147
rf,s32straight_to_s3,39.268292682926834
rf,s32straight_to_s33straight,7.097288676236043
rf,s32straight_to_s7,21.25000000000001
rf,s33straight_to_s1,30.275423728813564
rf,s33straight_to_s2,35.79545454545455
rf,s33straight_to_s32straight,4.5954106280193265
rf,s33straight_to_s4,35.08928571428573
rf,s3_to_s1,19.129870129870135
rf,s3_to_s32straight,6.84887459807074
rf,s3_to_s4,never
rf,s3_to_s7,31.309523809523807
rf,s4_to_s2,19.87547892720307
rf,s4_to_s3,never
rf,s4_to_s33straight,8.036036036036036
rf,s4_to_s7,40.83333333333332
rf,s7_to_s1,17.585714285714285
rf,s7_to_s2,20.02262443438914
rf,s7_to_s3,53.511904761904745
rf,s7_to_s32straight,5.071942446043162
rf,s7_to_s4,66.16666666666661
fourier_knn,s1_to_s2,16.84375
fourier_knn,s1_to_s3,88.45454545454547
fourier_knn,s1_to_s32straight,13.780487804878046
fourier_knn,s1_to_s33straight,17.973484848484848
fourier_knn,s1_to_s7,49.44444444444446
fourier_knn,s2_to_s1,0.6666666666666601
fourier_knn,s2_to_s32straight,13.300733496332517
fourier_knn,s2_to_s33straight,17.509803921568626
fourier_knn,s2_to_s4,163.66459627329186
fourier_knn,s2_to_s7,49.44444444444446
fourier_knn,s32straight_to_s1,32.668269230769226
fourier_knn,s32straight_to_s2,49.335937499999986
fourier_knn,s32straight_to_s3,88.2075471698113
fourier_knn,s32straight_to_s33straight,11.503067484662584
fourier_knn,s32straight_to_s7,48.33333333333338
fourier_knn,s33straight_to_s1,29.084967320261452
fourier_knn,s33straight_to_s2,47.330827067669176
fourier_knn,s33straight_to_s32straight,10.546875
fourier_knn,s33straight_to_s4,161.89024390243907
fourier_knn,s3_to_s1,21.272189349112438
fourier_knn,s3_to_s32straight,12.204819277108435
fourier_knn,s3_to_s4,never
fourier_knn,s3_to_s7,63.199999999999996
fourier_knn,s4_to_s2,34.84662576687116
fourier_knn,s4_to_s3,never
fourier_knn,s4_to_s33straight,14.684210526315798
fourier_knn,s4_to_s7,58.00000000000001
fourier_knn,s7_to_s1,20.02994011976048
fourier_knn,s7_to_s2,34.6875
fourier_knn,s7_to_s3,119.82248520710058
fourier_knn,s7_to_s32straight,12.30861244019139
fourier_knn,s7_to_s4,196.73202614379088
