model,comparison,full_source_final_acc,capped500_final_acc,abs_diff
knn,s1_to_s2,63.98,74.59,10.61
knn,s1_to_s3,48.79,63.46,14.66
knn,s1_to_s32straight,73.77,83.35,9.58
knn,s1_to_s33straight,77.94,84.99,7.05
knn,s1_to_s7,52.63,69.01,16.37
knn,s2_to_s1,67.76,81.59,13.83
knn,s2_to_s32straight,75.58,84.21,8.63
knn,s2_to_s33straight,75.96,84.19,8.23
knn,s2_to_s4,42.46,57.49,15.03
knn,s2_to_s7,52.57,69.01,16.43
knn,s32straight_to_s1,72.46,86.11,13.64
knn,s32straight_to_s2,65.38,78.69,13.31
knn,s32straight_to_s3,48.86,63.46,14.60
knn,s32straight_to_s33straight,75.36,84.87,9.51
knn,s32straight_to_s7,52.87,69.01,16.14
knn,s33straight_to_s1,75.22,87.41,12.19
knn,s33straight_to_s2,63.85,79.56,15.71
knn,s33straight_to_s32straight,74.27,84.53,10.25
knn,s33straight_to_s4,42.67,57.49,14.81
knn,s3_to_s1,80.91,89.38,8.47
knn,s3_to_s32straight,82.08,88.55,6.46
knn,s3_to_s4,28.80,38.10,9.30
knn,s3_to_s7,52.75,64.85,12.11
knn,s4_to_s2,71.03,83.21,12.18
knn,s4_to_s3,31.54,45.20,13.66
knn,s4_to_s33straight,82.14,89.53,7.40
knn,s4_to_s7,51.58,64.97,13.39
knn,s7_to_s1,85.98,89.38,3.40
knn,s7_to_s2,78.07,83.21,5.14
knn,s7_to_s3,52.75,59.33,6.58
knn,s7_to_s32straight,86.57,88.55,1.98
knn,s7_to_s4,48.72,53.88,5.16
rf,s1_to_s2,71.06,78.67,7.61
rf,s1_to_s3,71.11,70.77,0.34
rf,s1_to_s32straight,83.33,86.95,3.62
rf,s1_to_s33straight,88.21,89.73,1.51
rf,s1_to_s7,76.08,75.73,0.35
rf,s2_to_s1,69.21,83.77,14.55
rf,s2_to_s32straight,82.15,87.31,5.16
rf,s2_to_s33straight,84.80,88.83,4.04
rf,s2_to_s4,67.70,67.57,0.13
rf,s2_to_s7,75.38,75.15,0.23
rf,s32straight_to_s1,83.00,88.70,5.69
rf,s32straight_to_s2,77.39,82.67,5.28
rf,s32straight_to_s3,70.81,70.64,0.17
rf,s32straight_to_s33straight,87.40,91.65,4.25
rf,s32straight_to_s7,75.20,75.73,0.53
rf,s33straight_to_s1,86.50,91.61,5.11
rf,s33straight_to_s2,77.95,83.43,5.48
rf,s33straight_to_s32straight,89.31,91.16,1.85
rf,s33straight_to_s4,63.96,67.09,3.13
rf,s3_to_s1,96.65,96.56,0.08
rf,s3_to_s32straight,94.29,94.27,0.02
rf,s3_to_s4,29.17,38.58,9.41
rf,s3_to_s7,68.19,71.23,3.04
rf,s4_to_s2,90.49,90.27,0.22
rf,s4_to_s3,29.50,44.30,14.80
rf,s4_to_s33straight,95.05,94.95,0.10
rf,s4_to_s7,64.21,70.00,5.79
rf,s7_to_s1,96.98,96.85,0.12
rf,s7_to_s2,89.88,90.10,0.22
rf,s7_to_s3,66.21,66.61,0.40
rf,s7_to_s32straight,94.38,94.42,0.04
rf,s7_to_s4,61.10,61.84,0.75
fourier_knn,s1_to_s2,62.22,73.19,10.97
fourier_knn,s1_to_s3,46.21,61.54,15.34
fourier_knn,s1_to_s32straight,73.85,82.91,9.05
fourier_knn,s1_to_s33straight,77.11,84.39,7.28
fourier_knn,s1_to_s7,52.28,68.30,16.02
fourier_knn,s2_to_s1,67.72,81.51,13.79
fourier_knn,s2_to_s32straight,75.75,83.89,8.15
fourier_knn,s2_to_s33straight,75.22,83.32,8.10
fourier_knn,s2_to_s4,38.77,53.13,14.36
fourier_knn,s2_to_s7,52.16,68.36,16.20
fourier_knn,s32straight_to_s1,72.13,85.67,13.54
fourier_knn,s32straight_to_s2,64.35,76.91,12.55
fourier_knn,s32straight_to_s3,47.92,61.54,13.62
fourier_knn,s32straight_to_s33straight,75.40,84.78,9.38
fourier_knn,s32straight_to_s7,52.81,68.42,15.61
fourier_knn,s33straight_to_s1,74.87,86.67,11.80
fourier_knn,s33straight_to_s2,63.06,77.55,14.49
fourier_knn,s33straight_to_s32straight,74.59,84.44,9.85
fourier_knn,s33straight_to_s4,41.63,53.34,11.71
fourier_knn,s3_to_s1,79.01,88.70,9.69
fourier_knn,s3_to_s32straight,81.94,87.92,5.98
fourier_knn,s3_to_s4,26.66,35.35,8.69
fourier_knn,s3_to_s7,53.10,65.03,11.93
fourier_knn,s4_to_s2,68.22,80.54,12.32
fourier_knn,s4_to_s3,30.34,44.56,14.23
fourier_knn,s4_to_s33straight,81.67,88.08,6.41
fourier_knn,s4_to_s7,51.64,64.62,12.98
fourier_knn,s7_to_s1,85.45,88.70,3.25
fourier_knn,s7_to_s2,76.52,80.50,3.98
fourier_knn,s7_to_s3,51.48,58.19,6.71
fourier_knn,s7_to_s32straight,86.00,87.96,1.96
fourier_knn,s7_to_s4,46.42,50.27,3.85
