target,target_label,model,zero_shot_top2_percent,at_200_target_top2_percent,zero_shot_relative_power_percent,at_200_target_relative_power_percent
scenario2,Scenario 2: McAllister night,mlp,57.81512605042016,64.2016806722689,78.69515419006348,82.58917331695557
scenario2,Scenario 2: McAllister night,rf,36.24649859943978,79.66386554621849,65.15836327933779,92.2145964639029
scenario2,Scenario 2: McAllister night,knn,35.406162464986,78.20728291316527,64.9343026451976,92.07783724671611
scenario2,Scenario 2: McAllister night,fourier_knn,34.22969187675069,77.03081232492997,64.29978692895989,91.38763552304361
scenario3,Scenario 3: Rural Road day,mlp,5.592841163310962,22.930648769574944,51.85444355010986,65.16869068145752
scenario3,Scenario 3: Rural Road day,rf,0.7829977628635347,72.25950782997762,46.786772850114914,89.96259284391978
scenario3,Scenario 3: Rural Road day,knn,8.389261744966444,66.21923937360178,52.229352366596856,87.64729538842309
scenario3,Scenario 3: Rural Road day,fourier_knn,10.40268456375839,63.19910514541386,54.17828800157282,86.01715269614597
scenario7,Scenario 7: wide 4-lane site day,mlp,1.364522417153996,18.71345029239766,67.38049983978271,72.76551127433777
scenario7,Scenario 7: wide 4-lane site day,rf,1.364522417153996,74.46393762183236,67.40674787022202,93.42053644558558
scenario7,Scenario 7: wide 4-lane site day,knn,8.382066276803119,66.08187134502924,68.26926997441035,91.04701919105092
scenario7,Scenario 7: wide 4-lane site day,fourier_knn,19.688109161793367,65.8869395711501,71.51444997996734,90.76958681251509
scenario33straight,"Scenario 33straight: College Avenue night, straight segment",mlp,0.19417475728155342,4.919093851132686,nan,nan
scenario33straight,"Scenario 33straight: College Avenue night, straight segment",rf,0.7119741100323624,90.03236245954692,56.3115364361458,98.03031480988203
scenario33straight,"Scenario 33straight: College Avenue night, straight segment",knn,0.7119741100323624,84.85436893203882,56.48748342634939,97.09563648129865
scenario33straight,"Scenario 33straight: College Avenue night, straight segment",fourier_knn,6.2135922330097095,84.91909385113269,59.549594601289115,97.38620979755969
scenario33,"Scenario 33: College Avenue night, full road",mlp,11.501463822668338,29.694688414889164,nan,nan
scenario33,"Scenario 33: College Avenue night, full road",rf,6.566290255123379,85.61271434546215,62.94107983203156,96.737958972655
scenario33,"Scenario 33: College Avenue night, full road",knn,6.566290255123379,79.63195315767462,62.95213895338462,95.71928373180681
scenario33,"Scenario 33: College Avenue night, full road",fourier_knn,5.6879966541196145,78.0008364700962,60.646824141794596,95.235353510786
