comparison,MLP (reference)_accuracy,k-NN_accuracy,Random Forest_accuracy,Fourier + k-NN_accuracy,MLP (reference)_rank,k-NN_rank,Random Forest_rank,Fourier + k-NN_rank
s1_to_s2,56.17,63.98,71.06,62.22,4,2,1,3
s1_to_s3,28.02,48.79,71.11,46.21,4,2,1,3
s1_to_s32straight,50.59,73.77,83.33,73.85,4,3,1,2
s1_to_s33straight,54.64,77.94,88.21,77.11,4,2,1,3
s1_to_s7,26.84,52.63,76.08,52.28,4,2,1,3
s2_to_s1,55.67,67.76,69.21,67.72,4,2,1,3
s2_to_s32straight,51.52,75.58,82.15,75.75,4,3,1,2
s2_to_s33straight,52.74,75.96,84.80,75.22,4,2,1,3
s2_to_s4,32.57,42.46,67.70,38.77,4,2,1,3
s2_to_s7,38.01,52.57,75.38,52.16,4,2,1,3
s32straight_to_s1,29.81,72.46,83.00,72.13,4,2,1,3
s32straight_to_s2,26.77,65.38,77.39,64.35,4,2,1,3
s32straight_to_s3,25.13,48.86,70.81,47.92,4,2,1,3
s32straight_to_s33straight,76.16,75.36,87.40,75.40,2,4,1,3
s32straight_to_s7,27.66,52.87,75.20,52.81,4,2,1,3
s33straight_to_s1,31.57,75.22,86.50,74.87,4,2,1,3
s33straight_to_s2,25.76,63.85,77.95,63.06,4,2,1,3
s33straight_to_s32straight,78.00,74.27,89.31,74.59,2,4,1,3
s33straight_to_s4,27.25,42.67,63.96,41.63,4,2,1,3
s3_to_s1,25.65,80.91,96.65,79.01,4,2,1,3
s3_to_s32straight,63.64,82.08,94.29,81.94,4,2,1,3
s3_to_s4,18.96,28.80,29.17,26.66,4,2,1,3
s3_to_s7,32.63,52.75,68.19,53.10,4,3,1,2
s4_to_s2,43.29,71.03,90.49,68.22,4,2,1,3
s4_to_s3,17.95,31.54,29.50,30.34,4,1,3,2
s4_to_s33straight,64.37,82.14,95.05,81.67,4,2,1,3
s4_to_s7,27.72,51.58,64.21,51.64,4,3,1,2
s7_to_s1,47.93,85.98,96.98,85.45,4,2,1,3
s7_to_s2,41.66,78.07,89.88,76.52,4,2,1,3
s7_to_s3,20.47,52.75,66.21,51.48,4,2,1,3
s7_to_s32straight,71.31,86.57,94.38,86.00,4,2,1,3
s7_to_s4,27.67,48.72,61.10,46.42,4,2,1,3
